PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-18.20-26-7,0,BarChart,none,0,65.52139,66.0,-0.72831815
p2017-11-18.20-26-7,0,BarChart,none,1,73.49423,72.0,0.6953099
p2017-11-18.20-26-7,0,BarChart,none,2,87.30498,88.0,-0.28626445
p2017-11-18.20-26-7,0,BarChart,none,3,90.087776,90.0,-2.2325914
p2017-11-18.20-26-7,0,BarChart,none,4,93.013916,92.0,0.18766136
p2017-11-18.20-26-7,1,ScatterPlot,none,0,1.4539171,1.5,-2.5472329
p2017-11-18.20-26-7,1,ScatterPlot,none,1,2.9410267,3.0,-2.4424314
p2017-11-18.20-26-7,1,ScatterPlot,none,2,3.1609428,3.1,-2.4270685
p2017-11-18.20-26-7,1,ScatterPlot,none,3,4.5183854,4.5,-2.8020298
p2017-11-18.20-26-7,1,ScatterPlot,none,4,4.6530147,4.6,-2.4899313
p2017-11-18.20-26-7,2,RadarChart,none,0,9.3140335,10.0,-0.3022858
p2017-11-18.20-26-7,2,RadarChart,none,1,6.66479,7.0,-1.1196362
p2017-11-18.20-26-7,2,RadarChart,none,2,8.799609,9.0,-1.6197547
p2017-11-18.20-26-7,2,RadarChart,none,3,6.4769487,7.0,-0.62582016
p2017-11-18.20-26-7,2,RadarChart,none,4,6.981037,7.0,-2.7962313
