PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-18.20-18-50,0,RadarChart,none,0,10.280108,10.0,-1.3036199
p2017-11-18.20-18-50,0,RadarChart,none,1,8.574362,5.0,1.8872764
p2017-11-18.20-18-50,0,RadarChart,none,2,6.3711834,8.0,0.8104979
p2017-11-18.20-18-50,0,RadarChart,none,3,8.516421,13.0,2.2043219
p2017-11-18.20-18-50,0,RadarChart,none,4,13.109803,7.0,2.6403441
p2017-11-18.20-18-50,1,RadarChart,none,0,10.280108,10.0,-1.3036199
p2017-11-18.20-18-50,1,RadarChart,none,1,8.574362,9.0,-0.8608234
p2017-11-18.20-18-50,1,RadarChart,none,2,6.3711834,7.0,-0.40771455
p2017-11-18.20-18-50,1,RadarChart,none,3,8.516421,8.0,-0.6406558
p2017-11-18.20-18-50,1,RadarChart,none,4,13.109803,13.0,-2.090476
p2017-11-18.20-18-50,2,BarChart,none,0,59.923615,60.0,-2.3119683
p2017-11-18.20-18-50,2,BarChart,none,1,77.22318,80.0,1.5369567
p2017-11-18.20-18-50,2,BarChart,none,2,85.31021,85.0,-1.2002125
p2017-11-18.20-18-50,2,BarChart,none,3,92.32818,90.0,1.2946521
p2017-11-18.20-18-50,2,BarChart,none,4,93.39012,92.0,0.5994334
