PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-19.19-46-55,0,ScatterPlot,none,0,2.5654972,2.5,-2.3921585
p2017-11-19.19-46-55,0,ScatterPlot,none,1,3.6476185,3.5,-1.8750445
p2017-11-19.19-46-55,0,ScatterPlot,none,2,4.3551207,4.1,-1.3954703
p2017-11-19.19-46-55,0,ScatterPlot,none,3,4.5757723,4.2,-0.9977728
p2017-11-19.19-46-55,0,ScatterPlot,none,4,4.6282253,4.3,-1.1417001
p2017-11-19.19-46-55,1,BarChart,none,0,58.78422,60.0,0.42307073
p2017-11-19.19-46-55,1,BarChart,none,1,64.10174,65.0,0.03317562
p2017-11-19.19-46-55,1,BarChart,none,2,78.57354,80.0,0.63362676
p2017-11-19.19-46-55,1,BarChart,none,3,87.2761,90.0,1.510405
p2017-11-19.19-46-55,1,BarChart,none,4,90.87307,95.0,2.0881178
p2017-11-19.19-46-55,2,RadarChart,none,0,13.2974,2.0,3.513794
p2017-11-19.19-46-55,2,RadarChart,none,1,4.2095165,1.0,1.7374775
p2017-11-19.19-46-55,2,RadarChart,none,2,8.084111,2.0,2.6343868
p2017-11-19.19-46-55,2,RadarChart,none,3,10.037338,3.5,2.7360287
p2017-11-19.19-46-55,2,RadarChart,none,4,2.9499016,4.0,0.23278159
