PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-19.21-54-27,0,RadarChart,themed,0,8.657595,10.0,0.5532674
p2017-11-19.21-54-27,0,RadarChart,themed,1,10.832113,15.0,2.101948
p2017-11-19.21-54-27,0,RadarChart,themed,2,10.532774,8.0,1.4102185
p2017-11-19.21-54-27,0,RadarChart,themed,3,8.820055,18.0,3.2179976
p2017-11-19.21-54-27,0,RadarChart,themed,4,9.523491,8.0,0.7211459
p2017-11-19.21-54-27,1,ScatterPlot,themed,0,3.4243512,3.0,-0.86419934
p2017-11-19.21-54-27,1,ScatterPlot,themed,1,3.6967394,3.0,-0.28324708
p2017-11-19.21-54-27,1,ScatterPlot,themed,2,4.000945,4.0,-2.9891331
p2017-11-19.21-54-27,1,ScatterPlot,themed,3,4.3244295,4.0,-1.1538333
p2017-11-19.21-54-27,1,ScatterPlot,themed,4,4.506383,5.0,-0.69288146
p2017-11-19.21-54-27,2,BarChart,themed,0,19.399263,20.0,-0.46248204
p2017-11-19.21-54-27,2,BarChart,themed,1,86.81513,85.0,0.95615494
p2017-11-19.21-54-27,2,BarChart,themed,2,88.8053,85.0,1.9746386
p2017-11-19.21-54-27,2,BarChart,themed,3,92.73416,97.0,2.1344965
p2017-11-19.21-54-27,2,BarChart,themed,4,94.312965,90.0,2.1498983
