PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-19.14-42-59,0,BarChart,themed,0,62.57127,62.0,-0.5222812
p2017-11-19.14-42-59,0,BarChart,themed,1,83.83706,82.0,0.9723684
p2017-11-19.14-42-59,0,BarChart,themed,2,88.36049,85.0,1.8013611
p2017-11-19.14-42-59,0,BarChart,themed,3,93.25012,89.0,2.1293232
p2017-11-19.14-42-59,0,BarChart,themed,4,94.5512,90.0,2.2253368
p2017-11-19.14-42-59,1,RadarChart,themed,0,9.480883,10.0,-0.6346045
p2017-11-19.14-42-59,1,RadarChart,themed,1,8.937598,9.0,-2.4157934
p2017-11-19.14-42-59,1,RadarChart,themed,2,6.7648945,7.0,-1.4735085
p2017-11-19.14-42-59,1,RadarChart,themed,3,2.6691227,3.0,-1.1332825
p2017-11-19.14-42-59,1,RadarChart,themed,4,7.1677237,7.0,-1.7723887
p2017-11-19.14-42-59,2,ScatterPlot,themed,0,2.7324498,2.7,-2.667037
p2017-11-19.14-42-59,2,ScatterPlot,themed,1,2.9277763,2.8,-1.9840664
p2017-11-19.14-42-59,2,ScatterPlot,themed,2,4.2930465,4.2,-2.1972911
p2017-11-19.14-42-59,2,ScatterPlot,themed,3,4.6281786,4.4,-1.5015306
p2017-11-19.14-42-59,2,ScatterPlot,themed,4,4.720001,4.5,-1.5353266
