PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-18.20-6-58,0,ScatterPlot,none,0,1.2007729,1.0,-1.6180617
p2017-11-18.20-6-58,0,ScatterPlot,none,1,1.9885731,2.0,-2.8737996
p2017-11-18.20-6-58,0,ScatterPlot,none,2,3.5166142,3.5,-2.8199623
p2017-11-18.20-6-58,0,ScatterPlot,none,3,4.0183454,4.0,-2.8024328
p2017-11-18.20-6-58,0,ScatterPlot,none,4,4.5514607,5.0,-0.80203587
p2017-11-18.20-6-58,1,RadarChart,none,0,6.3769016,3.0,1.8081386
p2017-11-18.20-6-58,1,RadarChart,none,1,6.9770546,4.0,1.6332241
p2017-11-18.20-6-58,1,RadarChart,none,2,8.631128,6.0,1.4626431
p2017-11-18.20-6-58,1,RadarChart,none,3,12.261583,12.0,-1.3711487
p2017-11-18.20-6-58,1,RadarChart,none,4,6.8966107,5.0,1.0155053
p2017-11-18.20-6-58,2,BarChart,none,0,44.6717,50.0,2.4471297
p2017-11-18.20-6-58,2,BarChart,none,1,53.6488,60.0,2.6951475
p2017-11-18.20-6-58,2,BarChart,none,2,81.91718,80.0,1.0301121
p2017-11-18.20-6-58,2,BarChart,none,3,87.53666,80.0,2.9376569
p2017-11-18.20-6-58,2,BarChart,none,4,91.284386,100.0,3.1441467
