PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-18.20-23-11,0,RadarChart,none,0,9.244002,9.0,-1.4382981
p2017-11-18.20-23-11,0,RadarChart,none,1,5.8880434,5.0,0.018695986
p2017-11-18.20-23-11,0,RadarChart,none,2,13.219342,14.0,-0.1429621
p2017-11-18.20-23-11,0,RadarChart,none,3,11.770129,0.0,3.572299
p2017-11-18.20-23-11,0,RadarChart,none,4,16.616697,0.0,4.065374
p2017-11-18.20-23-11,1,ScatterPlot,none,0,4.5956755,4.6666665,-2.3511405
p2017-11-18.20-23-11,1,ScatterPlot,none,1,4.6399994,4.6666665,-2.7210197
p2017-11-18.20-23-11,1,ScatterPlot,none,2,4.6704555,4.6666665,-2.9569194
p2017-11-18.20-23-11,1,ScatterPlot,none,3,4.6908016,4.6666665,-2.7453082
p2017-11-18.20-23-11,1,ScatterPlot,none,4,4.7181363,4.6666665,-2.5025067
p2017-11-18.20-23-11,2,BarChart,none,0,80.799034,80.0,-0.11398198
p2017-11-18.20-23-11,2,BarChart,none,1,86.27152,87.0,-0.228575
p2017-11-18.20-23-11,2,BarChart,none,2,88.69704,90.0,0.5139589
p2017-11-18.20-23-11,2,BarChart,none,3,92.62624,92.0,-0.4126473
p2017-11-18.20-23-11,2,BarChart,none,4,93.33112,95.0,0.8430807
