PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-18.19-53-53,0,ScatterPlot,themed,0,2.5506103,2.5,-2.5095506
p2017-11-18.19-53-53,0,ScatterPlot,themed,1,3.4331565,3.0,-0.84125847
p2017-11-18.19-53-53,0,ScatterPlot,themed,2,3.7980509,3.2,-0.46783105
p2017-11-18.19-53-53,0,ScatterPlot,themed,3,3.898157,3.5,-0.93468446
p2017-11-18.19-53-53,0,ScatterPlot,themed,4,4.159342,4.0,-1.8143018
p2017-11-18.19-53-53,1,BarChart,themed,0,45.74995,60.0,3.845495
p2017-11-18.19-53-53,1,BarChart,themed,1,73.889824,65.0,3.1722994
p2017-11-18.19-53-53,1,BarChart,themed,2,83.18459,70.0,3.7343946
p2017-11-18.19-53-53,1,BarChart,themed,3,89.11902,75.0,3.8322842
p2017-11-18.19-53-53,1,BarChart,themed,4,92.951126,80.0,3.7088633
p2017-11-18.19-53-53,2,RadarChart,themed,0,6.905282,12.0,2.383972
p2017-11-18.19-53-53,2,RadarChart,themed,1,11.915377,8.0,2.0144897
p2017-11-18.19-53-53,2,RadarChart,themed,2,15.573377,4.0,3.5482364
p2017-11-18.19-53-53,2,RadarChart,themed,3,10.48399,10.0,-0.7155102
p2017-11-18.19-53-53,2,RadarChart,themed,4,14.914727,6.0,3.176279
