PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-19.21-51-10,0,RadarChart,none,0,7.082238,20.0,3.7051773
p2017-11-19.21-51-10,0,RadarChart,none,1,15.278112,18.0,1.5093856
p2017-11-19.21-51-10,0,RadarChart,none,2,16.043705,15.0,0.22491081
p2017-11-19.21-51-10,0,RadarChart,none,3,10.363206,10.0,-1.0344384
p2017-11-19.21-51-10,0,RadarChart,none,4,13.589486,6.0,2.94757
p2017-11-19.21-51-10,1,ScatterPlot,none,0,1.730953,1.8,-2.3655221
p2017-11-19.21-51-10,1,ScatterPlot,none,1,3.7355466,3.8,-2.4000852
p2017-11-19.21-51-10,1,ScatterPlot,none,2,4.328222,4.0,-1.1417109
p2017-11-19.21-51-10,1,ScatterPlot,none,3,4.4979267,4.1,-0.93531907
p2017-11-19.21-51-10,1,ScatterPlot,none,4,4.597972,4.2,-0.9351941
p2017-11-19.21-51-10,2,BarChart,none,0,68.74615,70.0,0.4634685
p2017-11-19.21-51-10,2,BarChart,none,1,90.7475,94.0,1.7559568
p2017-11-19.21-51-10,2,BarChart,none,2,90.97656,94.0,1.6546359
p2017-11-19.21-51-10,2,BarChart,none,3,94.13158,96.0,0.9952482
p2017-11-19.21-51-10,2,BarChart,none,4,94.99281,97.0,1.0923339
