PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-19.19-39-42,0,BarChart,opposite,0,59.603382,60.0,-0.93893474
p2017-11-19.19-39-42,0,BarChart,opposite,1,92.508606,90.0,1.3970395
p2017-11-19.19-39-42,0,BarChart,opposite,2,93.184204,90.25,1.6131563
p2017-11-19.19-39-42,0,BarChart,opposite,3,93.62632,90.5,1.7010255
p2017-11-19.19-39-42,0,BarChart,opposite,4,94.03411,91.0,1.6595186
p2017-11-19.19-39-42,1,RadarChart,opposite,0,7.450707,4.0,1.8382285
p2017-11-19.19-39-42,1,RadarChart,opposite,1,4.1900477,2.0,1.2110419
p2017-11-19.19-39-42,1,RadarChart,opposite,2,8.0506115,3.0,2.3717294
p2017-11-19.19-39-42,1,RadarChart,opposite,3,4.159725,5.0,-0.05098836
p2017-11-19.19-39-42,1,RadarChart,opposite,4,16.452927,8.0,3.100629
p2017-11-19.19-39-42,2,ScatterPlot,opposite,0,3.0879033,3.0,-2.2317302
p2017-11-19.19-39-42,2,ScatterPlot,opposite,1,3.823798,3.8,-2.748573
p2017-11-19.19-39-42,2,ScatterPlot,opposite,2,4.396766,4.2,-1.6359144
p2017-11-19.19-39-42,2,ScatterPlot,opposite,3,4.4499836,4.4,-2.5147092
p2017-11-19.19-39-42,2,ScatterPlot,opposite,4,4.728856,4.7,-2.7003448
