PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-18.19-50-32,0,RadarChart,themed,0,13.85704,8.0,2.5806377
p2017-11-18.19-50-32,0,RadarChart,themed,1,12.808747,6.0,2.7936354
p2017-11-18.19-50-32,0,RadarChart,themed,2,15.090895,8.0,2.8511782
p2017-11-18.19-50-32,0,RadarChart,themed,3,9.389449,10.0,-0.44310293
p2017-11-18.19-50-32,0,RadarChart,themed,4,9.270456,15.0,2.5495567
p2017-11-18.19-50-32,1,BarChart,themed,0,15.04257,15.0,-2.5771632
p2017-11-18.19-50-32,1,BarChart,themed,1,54.05358,40.0,3.8256412
p2017-11-18.19-50-32,1,BarChart,themed,2,82.22877,60.0,4.482446
p2017-11-18.19-50-32,1,BarChart,themed,3,88.2934,80.0,3.0735466
p2017-11-18.19-50-32,1,BarChart,themed,4,91.70853,95.0,1.7725079
p2017-11-18.19-50-32,2,ScatterPlot,themed,0,3.512127,2.0,0.7111662
p2017-11-18.19-50-32,2,ScatterPlot,themed,1,3.722567,3.0,-0.23860054
p2017-11-18.19-50-32,2,ScatterPlot,themed,2,4.6297,4.5,-1.9731281
p2017-11-18.19-50-32,2,ScatterPlot,themed,3,4.721081,4.6,-2.0227957
p2017-11-18.19-50-32,2,ScatterPlot,themed,4,4.7427244,4.8,-2.4558053
