PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-19.22-21-20,0,RadarChart,none,0,2.5985045,1.0,0.7853451
p2017-11-19.22-21-20,0,RadarChart,none,1,6.1195765,3.0,1.6980301
p2017-11-19.22-21-20,0,RadarChart,none,2,8.668451,4.0,2.2610648
p2017-11-19.22-21-20,0,RadarChart,none,3,8.712812,8.0,-0.25530082
p2017-11-19.22-21-20,0,RadarChart,none,4,11.5611315,12.0,-0.82656926
p2017-11-19.22-21-20,1,BarChart,none,0,63.599133,63.0,-0.46567434
p2017-11-19.22-21-20,1,BarChart,none,1,68.18944,70.0,0.9527526
p2017-11-19.22-21-20,1,BarChart,none,2,75.87438,78.0,1.1703212
p2017-11-19.22-21-20,1,BarChart,none,3,88.43952,93.0,2.2281961
p2017-11-19.22-21-20,1,BarChart,none,4,93.16792,98.0,2.3094897
p2017-11-19.22-21-20,2,ScatterPlot,none,0,1.7586043,1.8,-2.5873103
p2017-11-19.22-21-20,2,ScatterPlot,none,1,4.3256426,4.3,-2.7308002
p2017-11-19.22-21-20,2,ScatterPlot,none,2,4.622643,4.5,-2.0136662
p2017-11-19.22-21-20,2,ScatterPlot,none,3,4.660571,4.51,-1.8595046
p2017-11-19.22-21-20,2,ScatterPlot,none,4,4.6911335,4.52,-1.7556802
