PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-19.21-48-13,0,RadarChart,none,0,15.570878,10.0,2.5099182
p2017-11-19.21-48-13,0,RadarChart,none,1,14.172349,8.0,2.6547446
p2017-11-19.21-48-13,0,RadarChart,none,2,13.136048,6.0,2.8601778
p2017-11-19.21-48-13,0,RadarChart,none,3,11.62998,6.0,2.5248108
p2017-11-19.21-48-13,0,RadarChart,none,4,14.523907,4.0,3.4126334
p2017-11-19.21-48-13,1,BarChart,none,0,66.01147,60.0,2.6174083
p2017-11-19.21-48-13,1,BarChart,none,1,82.36241,65.0,4.128245
p2017-11-19.21-48-13,1,BarChart,none,2,87.07175,70.0,4.1040635
p2017-11-19.21-48-13,1,BarChart,none,3,90.829346,75.0,3.9958775
p2017-11-19.21-48-13,1,BarChart,none,4,92.84397,80.0,3.696992
p2017-11-19.21-48-13,2,ScatterPlot,none,0,1.3163822,1.0,-1.1798997
p2017-11-19.21-48-13,2,ScatterPlot,none,1,4.0819573,4.0,-2.2725947
p2017-11-19.21-48-13,2,ScatterPlot,none,2,4.310421,4.1,-1.5759548
p2017-11-19.21-48-13,2,ScatterPlot,none,3,4.462693,4.5,-2.6232047
p2017-11-19.21-48-13,2,ScatterPlot,none,4,4.6027355,4.7,-2.169652
