PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-18.20-13-2,0,BarChart,none,0,41.053635,40.0,0.23711659
p2017-11-18.20-13-2,0,BarChart,none,1,62.433994,50.0,3.6506488
p2017-11-18.20-13-2,0,BarChart,none,2,80.52245,60.0,4.367892
p2017-11-18.20-13-2,0,BarChart,none,3,88.65414,85.0,1.9180566
p2017-11-18.20-13-2,0,BarChart,none,4,90.92827,90.0,0.074873164
p2017-11-18.20-13-2,1,ScatterPlot,none,0,3.61354,3.0,-0.43725216
p2017-11-18.20-13-2,1,ScatterPlot,none,1,4.094988,4.0,-2.1845043
p2017-11-18.20-13-2,1,ScatterPlot,none,2,4.4992404,4.5,-2.9912596
p2017-11-18.20-13-2,1,ScatterPlot,none,3,4.582149,4.8,-1.5443457
p2017-11-18.20-13-2,1,ScatterPlot,none,4,4.669857,4.9,-1.4935278
p2017-11-18.20-13-2,2,RadarChart,none,0,13.88612,18.0,2.0836833
p2017-11-18.20-13-2,2,RadarChart,none,1,17.826351,15.0,1.5613756
p2017-11-18.20-13-2,2,RadarChart,none,2,11.4704895,12.0,-0.61151177
p2017-11-18.20-13-2,2,RadarChart,none,3,11.784191,12.0,-1.5529652
p2017-11-18.20-13-2,2,RadarChart,none,4,15.600721,16.0,-0.9315943
