PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-19.19-36-5,0,RadarChart,none,0,10.807102,10.0,-0.101439945
p2017-11-19.19-36-5,0,RadarChart,none,1,11.547174,11.0,-0.57309234
p2017-11-19.19-36-5,0,RadarChart,none,2,12.075568,12.0,-2.3178353
p2017-11-19.19-36-5,0,RadarChart,none,3,4.2087097,4.0,-1.5833343
p2017-11-19.19-36-5,0,RadarChart,none,4,16.408108,26.0,3.2804952
p2017-11-19.19-36-5,1,BarChart,none,0,19.595066,20.0,-0.91611564
p2017-11-19.19-36-5,1,BarChart,none,1,53.79944,55.0,0.4066036
p2017-11-19.19-36-5,1,BarChart,none,2,69.35272,75.0,2.5291407
p2017-11-19.19-36-5,1,BarChart,none,3,83.34395,85.0,0.83272934
p2017-11-19.19-36-5,1,BarChart,none,4,88.70815,90.0,0.50268424
p2017-11-19.19-36-5,2,ScatterPlot,none,0,1.7303813,1.7,-2.6861162
p2017-11-19.19-36-5,2,ScatterPlot,none,1,3.1407392,3.2,-2.4401786
p2017-11-19.19-36-5,2,ScatterPlot,none,2,3.9270682,3.8,-1.9881134
p2017-11-19.19-36-5,2,ScatterPlot,none,3,4.6111116,4.3,-1.1972313
p2017-11-19.19-36-5,2,ScatterPlot,none,4,4.6674304,4.5,-1.7738347
