PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-19.19-43-30,0,BarChart,themed,0,85.89242,88.0,1.1587132
p2017-11-19.19-43-30,0,BarChart,themed,1,89.961914,92.0,1.113091
p2017-11-19.19-43-30,0,BarChart,themed,2,93.37326,93.0,-1.0050279
p2017-11-19.19-43-30,0,BarChart,themed,3,94.42723,94.0,-0.8566567
p2017-11-19.19-43-30,0,BarChart,themed,4,94.716095,94.0,-0.24965939
p2017-11-19.19-43-30,1,RadarChart,themed,0,13.717955,13.0,-0.2464731
p2017-11-19.19-43-30,1,RadarChart,themed,1,4.930222,5.0,-2.3600976
p2017-11-19.19-43-30,1,RadarChart,themed,2,4.815493,5.0,-1.6919565
p2017-11-19.19-43-30,1,RadarChart,themed,3,9.614775,10.0,-0.97079366
p2017-11-19.19-43-30,1,RadarChart,themed,4,11.703249,12.0,-1.2455366
p2017-11-19.19-43-30,2,ScatterPlot,themed,0,1.9632578,2.0,-2.6282318
p2017-11-19.19-43-30,2,ScatterPlot,themed,1,3.5450888,3.55,-2.9444025
p2017-11-19.19-43-30,2,ScatterPlot,themed,2,4.415836,4.45,-2.6514144
p2017-11-19.19-43-30,2,ScatterPlot,themed,3,4.533513,4.5,-2.6573262
p2017-11-19.19-43-30,2,ScatterPlot,themed,4,4.6525297,4.55,-2.1358743
