PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-18.21-15-54,0,BarChart,none,0,62.75773,60.0,1.5274351
p2017-11-18.21-15-54,0,BarChart,none,1,75.18492,77.0,0.9561152
p2017-11-18.21-15-54,0,BarChart,none,2,88.93971,85.0,2.0231533
p2017-11-18.21-15-54,0,BarChart,none,3,92.270836,90.0,1.260529
p2017-11-18.21-15-54,0,BarChart,none,4,94.16373,92.0,1.1945453
p2017-11-18.21-15-54,1,ScatterPlot,none,0,3.9475718,3.9,-2.5347326
p2017-11-18.21-15-54,1,ScatterPlot,none,1,4.4519753,4.2,-1.4074571
p2017-11-18.21-15-54,1,ScatterPlot,none,2,4.563041,4.3,-1.365719
p2017-11-18.21-15-54,1,ScatterPlot,none,3,4.682241,4.6,-2.2706182
p2017-11-18.21-15-54,1,ScatterPlot,none,4,4.728988,4.7,-2.6991067
p2017-11-18.21-15-54,2,RadarChart,none,0,7.0915604,8.0,0.047454126
p2017-11-18.21-15-54,2,RadarChart,none,1,9.362446,9.0,-1.0366862
p2017-11-18.21-15-54,2,RadarChart,none,2,5.3221774,5.0,-1.1610807
p2017-11-18.21-15-54,2,RadarChart,none,3,10.498547,13.0,1.393116
p2017-11-18.21-15-54,2,RadarChart,none,4,10.201345,11.0,-0.1145747
