PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-18.18-50-54,0,BarChart,themed,0,60.21514,60.0,-1.5557939
p2017-11-18.18-50-54,0,BarChart,themed,1,77.832115,79.0,0.37059376
p2017-11-18.18-50-54,0,BarChart,themed,2,79.77865,80.0,-1.5296906
p2017-11-18.18-50-54,0,BarChart,themed,3,81.22182,81.0,-1.5277534
p2017-11-18.18-50-54,0,BarChart,themed,4,88.3244,89.0,-0.32084984
p2017-11-18.18-50-54,1,ScatterPlot,themed,0,3.4067764,3.4,-2.9238367
p2017-11-18.18-50-54,1,ScatterPlot,themed,1,4.4048142,4.4,-2.9454806
p2017-11-18.18-50-54,1,ScatterPlot,themed,2,4.6703153,4.7,-2.692599
p2017-11-18.18-50-54,1,ScatterPlot,themed,3,4.742599,4.8,-2.454813
p2017-11-18.18-50-54,1,ScatterPlot,themed,4,4.745164,4.8,-2.475244
p2017-11-18.18-50-54,2,RadarChart,themed,0,9.416902,9.0,-0.8838972
p2017-11-18.18-50-54,2,RadarChart,themed,1,5.1871448,6.0,-0.09256284
p2017-11-18.18-50-54,2,RadarChart,themed,2,10.629973,11.0,-1.014422
p2017-11-18.18-50-54,2,RadarChart,themed,3,6.978698,8.0,0.19698747
p2017-11-18.18-50-54,2,RadarChart,themed,4,8.760261,10.0,0.4486255
