PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-20.16-4-1,0,ScatterPlot,themed,0,1.0965157,1.1,-2.9603353
p2017-11-20.16-4-1,0,ScatterPlot,themed,1,3.910233,3.1,-0.096602075
p2017-11-20.16-4-1,0,ScatterPlot,themed,2,4.411952,3.9,-0.6507436
p2017-11-20.16-4-1,0,ScatterPlot,themed,3,4.592857,4.5,-2.1985474
p2017-11-20.16-4-1,0,ScatterPlot,themed,4,4.7343416,4.9,-1.7826031
p2017-11-20.16-4-1,1,RadarChart,themed,0,9.023362,9.0,-2.7528048
p2017-11-20.16-4-1,1,RadarChart,themed,1,16.853878,18.0,0.34610248
p2017-11-20.16-4-1,1,RadarChart,themed,2,2.760241,3.0,-1.4549845
p2017-11-20.16-4-1,1,RadarChart,themed,3,3.2837896,4.0,-0.24946146
p2017-11-20.16-4-1,1,RadarChart,themed,4,8.387974,8.0,-0.963043
p2017-11-20.16-4-1,2,BarChart,themed,0,25.011965,25.0,-2.868123
p2017-11-20.16-4-1,2,BarChart,themed,1,54.548203,55.0,-0.79386324
p2017-11-20.16-4-1,2,BarChart,themed,2,73.784515,75.0,0.42275468
p2017-11-20.16-4-1,2,BarChart,themed,3,88.97536,90.0,0.20118587
p2017-11-20.16-4-1,2,BarChart,themed,4,91.90596,93.0,0.28574538
